,tweet_id,variable,value,account_name,user_id,text,links,replies,retweets,favorites,embbed_type,embbed_url,quote,hashtags,links_len,image_len,text_len
0,857368108935393280,(trabalh*).*(informais),True,Mov. Brasil Livre,1523823530,32 milhões de trabalhadores informais no país e tem gente preocupada com a CLT. É piada.,[],19,125,246,,,,[],0,0,88
1,857368108935393280,CLT,True,Mov. Brasil Livre,1523823530,32 milhões de trabalhadores informais no país e tem gente preocupada com a CLT. É piada.,[],19,125,246,,,,[],0,0,88
2,596305790547308545,(ajuste*).*(fisca*),True,Mov. Brasil Livre,1523823530,"O discurso do Deputado Carlos Sampaio na noite de ontem  06/05  acerca do ""ajuste fiscal"" aplicado pelo PT ... http://fb.me/7i3rDF7oK ",['http://fb.me/7i3rDF7oK'],1,8,6,,,,[],24,0,134
3,617785026709622784,(ajuste*).*(fisca*),True,Mov. Brasil Livre,1523823530,OPOSIÇÃO A FAVOR DO BRASIL (QUEBRADO)  O Movimento Brasil Livre é contra esse ajuste fiscal do governo que... http://fb.me/7pPjPO2Oc ,['http://fb.me/7pPjPO2Oc'],1,2,3,,,,[],24,0,133
4,623138301243887616,(ajuste*).*(fisca*),True,Mov. Brasil Livre,1523823530,615 milhões de reais. Isso é o que o governo gasta em cartões corporativos em tempos de ajuste fiscal  desemprego... http://fb.me/4sVZGEKqP ,['http://fb.me/4sVZGEKqP'],1,17,17,,,,[],24,0,140
5,623138301243887616,empreg*,True,Mov. Brasil Livre,1523823530,615 milhões de reais. Isso é o que o governo gasta em cartões corporativos em tempos de ajuste fiscal  desemprego... http://fb.me/4sVZGEKqP ,['http://fb.me/4sVZGEKqP'],1,17,17,,,,[],24,0,140
6,623138301243887616,desempreg*,True,Mov. Brasil Livre,1523823530,615 milhões de reais. Isso é o que o governo gasta em cartões corporativos em tempos de ajuste fiscal  desemprego... http://fb.me/4sVZGEKqP ,['http://fb.me/4sVZGEKqP'],1,17,17,,,,[],24,0,140
7,643869966140338177,(ajuste*).*(fisca*),True,Mov. Brasil Livre,1523823530,Ajuste fiscal pra quem?pic.twitter.com/owleKZH6n9,[],3,84,60,image,https://pbs.twimg.com/media/CO98Uj-WoAEriFO.png,,[],0,47,49
8,882724781858197507,(ajuste*).*(fisca*),True,Mov. Brasil Livre,1523823530,Sindicalistas fascistas invadiram a tribuna da Câmara de Porto Alegre para impedir a votação do ajuste fiscal. Vergonhoso.pic.twitter.com/zaUaaXt5Au,[],87,369,671,,,,[],0,0,148
9,882724781858197507,tribut*,True,Mov. Brasil Livre,1523823530,Sindicalistas fascistas invadiram a tribuna da Câmara de Porto Alegre para impedir a votação do ajuste fiscal. Vergonhoso.pic.twitter.com/zaUaaXt5Au,[],87,369,671,,,,[],0,0,148
10,882716575421399040,(ajuste*).*(fisca*),True,Mov. Brasil Livre,1523823530,Vergonhoso: para impedir votação do ajuste fiscal do Marchezan  sindicalista pelegos invadem tribuna da Câmara de vereadores.,[],8,27,96,,,,[],0,0,125
11,882716575421399040,tribut*,True,Mov. Brasil Livre,1523823530,Vergonhoso: para impedir votação do ajuste fiscal do Marchezan  sindicalista pelegos invadem tribuna da Câmara de vereadores.,[],8,27,96,,,,[],0,0,125
12,797051928840650752,(privilegi*).*(servidor*),True,Mov. Brasil Livre,1523823530,Chega de privilégios para servidores!pic.twitter.com/a8TEr4HBZS,[],13,85,152,image,https://pbs.twimg.com/media/Cw-yYfjWQAAa18W.jpg,,[],0,47,63
13,940574709678313473,(privilegi*).*(servidor*),True,Mov. Brasil Livre,1523823530,A turma que vai perder privilégios na reforma tá pedindo pra PGR investigar o MBL HUUAUHAHUAUHAHUAUHhttp://blogs.oglobo.globo.com/lauro-jardim/post/associacoes-de-servidores-pedem-para-pgr-investigar-mbl.html …,['http://blogs.oglobo.globo.com/lauro-jardim/post/associacoes-de-servidores-pedem-para-pgr-investigar-mbl.html'],23,35,132,,,,[],110,0,210
14,940574709678313473,reform*,True,Mov. Brasil Livre,1523823530,A turma que vai perder privilégios na reforma tá pedindo pra PGR investigar o MBL HUUAUHAHUAUHAHUAUHhttp://blogs.oglobo.globo.com/lauro-jardim/post/associacoes-de-servidores-pedem-para-pgr-investigar-mbl.html …,['http://blogs.oglobo.globo.com/lauro-jardim/post/associacoes-de-servidores-pedem-para-pgr-investigar-mbl.html'],23,35,132,,,,[],110,0,210
15,961387090431889408,(privilegi*).*(servidor*),True,Mov. Brasil Livre,1523823530,Privilégios de servidores: o buraco é muito mais embaixo.pic.twitter.com/0GSHMuMTEn,[],27,120,235,image,https://pbs.twimg.com/media/DVeIMQqX0AAtyz4.jpg,,[],0,47,83
16,960562323843887104,(privilegi*).*(servidor*),True,Mov. Brasil Livre,1523823530,A reforma da previdência: -Corta parte dos privilégios da elite dos servidores -Coloca políticos no regime geral -Não afeta 70% dos trabalhadores brasileiros.  Não há motivos para ser contra.,[],38,86,278,,,,[],0,0,191
17,960562323843887104,reform*,True,Mov. Brasil Livre,1523823530,A reforma da previdência: -Corta parte dos privilégios da elite dos servidores -Coloca políticos no regime geral -Não afeta 70% dos trabalhadores brasileiros.  Não há motivos para ser contra.,[],38,86,278,,,,[],0,0,191
18,964624954561048578,(privilegi*).*(servidor*),True,Mov. Brasil Livre,1523823530,A luta contra privilégios da elite de servidores públicos - aquela que já COMEÇA a carreira ganhando R$ 15 mil e vai ter aposentadoria de R$ 30 mil-  tem seu preço. O MBL agora está sendo processado por uma Associação de Auditores Fiscais. Apoie o MBL http://www.mbl.org.br/contribua pic.twitter.com/N2ruOPnx8R,['http://www.mbl.org.br/contribua'],27,94,231,image,https://pbs.twimg.com/media/DWMI7lAWsAAky0X.jpg,,[],33,47,310
19,964624954561048578,(servidor*).*(aposent*),True,Mov. Brasil Livre,1523823530,A luta contra privilégios da elite de servidores públicos - aquela que já COMEÇA a carreira ganhando R$ 15 mil e vai ter aposentadoria de R$ 30 mil-  tem seu preço. O MBL agora está sendo processado por uma Associação de Auditores Fiscais. Apoie o MBL http://www.mbl.org.br/contribua pic.twitter.com/N2ruOPnx8R,['http://www.mbl.org.br/contribua'],27,94,231,image,https://pbs.twimg.com/media/DWMI7lAWsAAky0X.jpg,,[],33,47,310
20,964624954561048578,(servidor*).*(public*),True,Mov. Brasil Livre,1523823530,A luta contra privilégios da elite de servidores públicos - aquela que já COMEÇA a carreira ganhando R$ 15 mil e vai ter aposentadoria de R$ 30 mil-  tem seu preço. O MBL agora está sendo processado por uma Associação de Auditores Fiscais. Apoie o MBL http://www.mbl.org.br/contribua pic.twitter.com/N2ruOPnx8R,['http://www.mbl.org.br/contribua'],27,94,231,image,https://pbs.twimg.com/media/DWMI7lAWsAAky0X.jpg,,[],33,47,310
21,964624954561048578,(conta*).*(public*),True,Mov. Brasil Livre,1523823530,A luta contra privilégios da elite de servidores públicos - aquela que já COMEÇA a carreira ganhando R$ 15 mil e vai ter aposentadoria de R$ 30 mil-  tem seu preço. O MBL agora está sendo processado por uma Associação de Auditores Fiscais. Apoie o MBL http://www.mbl.org.br/contribua pic.twitter.com/N2ruOPnx8R,['http://www.mbl.org.br/contribua'],27,94,231,image,https://pbs.twimg.com/media/DWMI7lAWsAAky0X.jpg,,[],33,47,310
22,964624954561048578,(preco*).*(f),True,Mov. Brasil Livre,1523823530,A luta contra privilégios da elite de servidores públicos - aquela que já COMEÇA a carreira ganhando R$ 15 mil e vai ter aposentadoria de R$ 30 mil-  tem seu preço. O MBL agora está sendo processado por uma Associação de Auditores Fiscais. Apoie o MBL http://www.mbl.org.br/contribua pic.twitter.com/N2ruOPnx8R,['http://www.mbl.org.br/contribua'],27,94,231,image,https://pbs.twimg.com/media/DWMI7lAWsAAky0X.jpg,,[],33,47,310
23,964624954561048578,aposent*,True,Mov. Brasil Livre,1523823530,A luta contra privilégios da elite de servidores públicos - aquela que já COMEÇA a carreira ganhando R$ 15 mil e vai ter aposentadoria de R$ 30 mil-  tem seu preço. O MBL agora está sendo processado por uma Associação de Auditores Fiscais. Apoie o MBL http://www.mbl.org.br/contribua pic.twitter.com/N2ruOPnx8R,['http://www.mbl.org.br/contribua'],27,94,231,image,https://pbs.twimg.com/media/DWMI7lAWsAAky0X.jpg,,[],33,47,310
24,964624954561048578,tribut*,True,Mov. Brasil Livre,1523823530,A luta contra privilégios da elite de servidores públicos - aquela que já COMEÇA a carreira ganhando R$ 15 mil e vai ter aposentadoria de R$ 30 mil-  tem seu preço. O MBL agora está sendo processado por uma Associação de Auditores Fiscais. Apoie o MBL http://www.mbl.org.br/contribua pic.twitter.com/N2ruOPnx8R,['http://www.mbl.org.br/contribua'],27,94,231,image,https://pbs.twimg.com/media/DWMI7lAWsAAky0X.jpg,,[],33,47,310
25,893115119772864515,(privilegi*).*(judiciario),True,Mov. Brasil Livre,1523823530,Transferência mais cara do futebol pagaria 1 mês de Congresso.  Precisamos acabar com privilégios do legislativo  executivo e judiciário.pic.twitter.com/KqvWROzaae,[],38,561,891,image,https://pbs.twimg.com/media/DGT69DKVoAAjIs8.jpg,,[],0,47,163
26,935940616583827456,(privilegi*).*(judiciario),True,Mov. Brasil Livre,1523823530,Um trabalhador da iniciativa privada sozinho já gera déficit na previdência. É óbvio que temos que acabar com privilégios e a mamata de muita gente da política  do judiciário  MP  etc  além de cobrar dívidas e tudo o mais  mas  mesmo assim  não resolve o problema.pic.twitter.com/QR2OKuXJSS,[],18,23,62,image,https://pbs.twimg.com/media/DP0gzhpX0Akz4zf.jpg,,[],0,47,290
27,935940616583827456,deficit*,True,Mov. Brasil Livre,1523823530,Um trabalhador da iniciativa privada sozinho já gera déficit na previdência. É óbvio que temos que acabar com privilégios e a mamata de muita gente da política  do judiciário  MP  etc  além de cobrar dívidas e tudo o mais  mas  mesmo assim  não resolve o problema.pic.twitter.com/QR2OKuXJSS,[],18,23,62,image,https://pbs.twimg.com/media/DP0gzhpX0Akz4zf.jpg,,[],0,47,290
28,935940616583827456,iniciativa privada,True,Mov. Brasil Livre,1523823530,Um trabalhador da iniciativa privada sozinho já gera déficit na previdência. É óbvio que temos que acabar com privilégios e a mamata de muita gente da política  do judiciário  MP  etc  além de cobrar dívidas e tudo o mais  mas  mesmo assim  não resolve o problema.pic.twitter.com/QR2OKuXJSS,[],18,23,62,image,https://pbs.twimg.com/media/DP0gzhpX0Akz4zf.jpg,,[],0,47,290
29,935940616583827456,dividas,True,Mov. Brasil Livre,1523823530,Um trabalhador da iniciativa privada sozinho já gera déficit na previdência. É óbvio que temos que acabar com privilégios e a mamata de muita gente da política  do judiciário  MP  etc  além de cobrar dívidas e tudo o mais  mas  mesmo assim  não resolve o problema.pic.twitter.com/QR2OKuXJSS,[],18,23,62,image,https://pbs.twimg.com/media/DP0gzhpX0Akz4zf.jpg,,[],0,47,290
30,999671969175015424,(servidor*).*(corte*),True,Mov. Brasil Livre,1523823530,"É nessa hora que as dezenas de estatais deficitárias ""impedem"" o corte de impostos. É nessas horas que a mamata de servidores custam para o não corte de impostos. A garra na luta pelo corte de impostos tem que existir também na hora de cortar gastos do governo.",[],6,29,113,,,,[],0,0,261
31,999671969175015424,(cust*).*(gas),True,Mov. Brasil Livre,1523823530,"É nessa hora que as dezenas de estatais deficitárias ""impedem"" o corte de impostos. É nessas horas que a mamata de servidores custam para o não corte de impostos. A garra na luta pelo corte de impostos tem que existir também na hora de cortar gastos do governo.",[],6,29,113,,,,[],0,0,261
32,999671969175015424,imposto*,True,Mov. Brasil Livre,1523823530,"É nessa hora que as dezenas de estatais deficitárias ""impedem"" o corte de impostos. É nessas horas que a mamata de servidores custam para o não corte de impostos. A garra na luta pelo corte de impostos tem que existir também na hora de cortar gastos do governo.",[],6,29,113,,,,[],0,0,261
